Name,Team,POS,ADP,IP,mERA,mWHIP,mSO,mQS,mSVHLD,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
Max Meyer ,MIA,SP,290.5100098,127.695,-9.757932449,-9.032925702,0.932893066,2.07806503,-4.385597703,-20.16549776,10.53333333,-8.632164425,Max Meyer,27474,676974
Matt Pushard ,STL,RP,999,49.3427,-3.67601972,-4.523511896,-5.286008169,-3.54164989,-3.176053782,-20.20324346,10.53333333,-8.669910124,Matt Pushard,sa3019955,690155
Taj Bradley ,MIN,SP,503.4400024,139.111,-11.88510961,-9.468916646,2.399653651,3.125129802,-4.381476191,-20.21071899,10.53333333,-8.677385655,Taj Bradley,22543,671737
Kaleb Ort ,LAA,RP,999,37.0019,-4.10594143,-3.131584708,-5.816450136,-3.54164989,-3.630397519,-20.22602368,10.53333333,-8.692690351,Kaleb Ort,20061,672391
Nick Martinez ,TBR,SP,737.2299805,141.367,-12.20474401,-7.397980108,0.262870746,3.338947497,-4.246746581,-20.24765245,10.53333333,-8.714319119,Nick Martinez,12730,607259
Juan Mejia ,COL,RP,999,64.3624,-6.594517955,-7.829284276,-3.404189526,-3.54164989,1.098199242,-20.27144241,10.53333333,-8.738109073,Juan Mejia,23237,675848
Zak Kent ,MIN,RP,999,43.6375,-3.060146796,-4.776688602,-5.454536075,-3.54164989,-3.442367913,-20.27538928,10.53333333,-8.742055943,Zak Kent,25703,687849
Cole Henry ,WSN,RP,734.9199829,62.2452,-7.577105521,-8.704193552,-3.971656161,-3.54164989,3.50951747,-20.28508766,10.53333333,-8.751754322,Cole Henry,27570,669371
Jaden Hill ,COL,RP,999,39.1021,-3.607979987,-3.891456596,-5.724910793,-3.54164989,-3.52312745,-20.28912472,10.53333333,-8.755791384,Jaden Hill,30250,677955
Johan Oviedo ,BOS,SP,523.460022,93.3076,-6.744362441,-7.590689047,-1.434382307,-0.313295592,-4.245001229,-20.32773062,10.53333333,-8.794397284,Johan Oviedo,22487,670912
Kyle Harrison ,MIL,SP,475.1799927,97.1454,-7.419511928,-7.438735887,-0.721875656,-0.731379362,-4.024898424,-20.33640126,10.53333333,-8.803067924,Kyle Harrison,27758,690986
Peyton Pallette ,CLE,RP,999,41.5272,-3.869953334,-4.256594109,-5.604333286,-3.54164989,-3.133987767,-20.40651839,10.53333333,-8.873185053,Peyton Pallette,sa3020742,688883
Brandon Pfaadt ,ARI,SP,599.9199829,162.719,-15.48223135,-7.523947996,3.076872277,3.968100776,-4.486521931,-20.44772823,10.53333333,-8.914394892,Brandon Pfaadt,27782,694297
Patrick Sandoval ,BOS,SP,999,70.662,-3.832261773,-8.01036451,-3.304371038,-1.03303198,-4.292073218,-20.47210252,10.53333333,-8.938769186,Patrick Sandoval,19447,663776
Jordan Hicks ,CHW,SP/RP,999,58.6348,-4.363736572,-7.038195228,-4.449429916,-3.335188795,-1.360922114,-20.54747262,10.53333333,-9.014139291,Jordan Hicks,19618,663855
George Soriano ,STL,RP,999,41.909,-4.230040885,-3.98488957,-5.693572475,-3.54164989,-3.149054056,-20.59920688,10.53333333,-9.065873544,George Soriano,21863,666277
Beau Brieske ,DET,RP,999,42.8186,-4.249189104,-4.637840989,-5.783537506,-3.54164989,-2.388160523,-20.60037801,10.53333333,-9.06704468,Beau Brieske,26079,689225
Jordan Montgomery ,TEX,SP,999,46.994,-4.597396067,-4.304473837,-5.816930402,-1.651455373,-4.316718321,-20.686974,10.53333333,-9.153640667,Jordan Montgomery,16511,656756
Ryan Johnson ,LAA,RP,999,47.8637,-4.685875472,-4.630809356,-5.224751519,-2.197110861,-3.950616672,-20.68916388,10.53333333,-9.155830546,Ryan Johnson,35325,696270
River Ryan ,LAD,SP,663.5200195,40.4731,-3.858171506,-4.09723261,-6.063648817,-2.401659973,-4.284645045,-20.70535795,10.53333333,-9.172024617,River Ryan,29514,689981
Michael Kelly ,ATH,RP,999,58.6835,-5.677577097,-6.91162701,-4.663484478,-3.54164989,0.049889181,-20.74444929,10.53333333,-9.211115962,Michael Kelly,12791,547184
Jon Gray ,,RP,999,47.1195,-5.351237676,-3.492961387,-5.521316424,-1.943434657,-4.486521931,-20.79547207,10.53333333,-9.262138742,Jon Gray,14916,592351
Stephen Kolek ,KCR,SP,999,59.9921,-4.451663105,-5.692089351,-5.2710799,-1.507637879,-3.920082267,-20.8425525,10.53333333,-9.309219169,Stephen Kolek,21487,663568
Martín Pérez ,ATL,SP,999,35.0423,-3.762077041,-4.061358305,-6.644540488,-1.969484293,-4.486521931,-20.92398206,10.53333333,-9.390648725,Martin Perez,6902,527048
Gordon Graceffo ,STL,RP,999,56.8332,-4.499211304,-4.289145105,-5.020268978,-3.54164989,-3.589687942,-20.93996322,10.53333333,-9.406629886,Gordon Graceffo,29519,700669
Keider Montero ,DET,SP/RP,999,50.3997,-4.847986591,-4.575977452,-5.348642221,-1.96896911,-4.246346322,-20.9879217,10.53333333,-9.454588363,Keider Montero,22630,672456
Jackson Rutledge ,WSN,RP,999,37.9368,-4.304209205,-3.695745293,-6.127929862,-3.54164989,-3.322910809,-20.99244506,10.53333333,-9.459111726,Jackson Rutledge,26215,671131
Nate Pearson ,HOU,RP,999,42.4481,-4.11169745,-4.346804197,-5.441430576,-3.54164989,-3.621465187,-21.0630473,10.53333333,-9.529713967,Nate Pearson,20160,663878
Tyler Alexander ,TEX,SP/RP,999,68.4681,-7.700820542,-3.465333311,-4.141794559,-3.197338182,-2.568686954,-21.07397355,10.53333333,-9.540640214,Tyler Alexander,17735,641302
Didier Fuentes ,ATL,RP,640.4699707,43.0655,-4.824216102,-3.37207515,-5.525316079,-3.291710692,-4.061384251,-21.07470227,10.53333333,-9.541368941,Didier Fuentes,30661,800311
Kyle Nicolas ,CIN,RP,999,36.7716,-3.078343125,-4.92077299,-5.797745696,-3.54164989,-3.740968296,-21.07948,10.53333333,-9.546146663,Kyle Nicolas,27775,693312
Connor Brogdon ,CLE,RP,999,47.0391,-5.588819615,-4.049170855,-5.055621039,-3.54164989,-2.862416689,-21.09767809,10.53333333,-9.564344756,Connor Brogdon,21205,641401
Cionel Pérez ,WSN,RP,999,49.6698,-3.891698867,-7.698052493,-5.310722338,-3.54164989,-0.692849241,-21.13497283,10.53333333,-9.601639496,Cionel Perez,19614,672335
Jacob Latz ,TEX,SP,729.1799927,101.857,-6.77907437,-9.705838416,-0.868415063,-0.218047186,-3.683555315,-21.25493035,10.53333333,-9.721597017,Jacob Latz,21306,656641
Emerson Hancock ,SEA,SP/RP,734.5300293,66.1905,-5.777191974,-5.004540873,-4.590659822,-1.66261595,-4.276428932,-21.31143755,10.53333333,-9.778104217,Emerson Hancock,27470,676106
Justin Verlander ,DET,SP,672.3599854,131.441,-11.36752376,-8.446211124,0.340340216,2.594722173,-4.486521931,-21.36519442,10.53333333,-9.83186109,Justin Verlander,8700,434378
Mitchell Parker ,WSN,SP,999,46.4,-5.183757489,-4.169977572,-5.869014291,-1.971100166,-4.285248507,-21.47909802,10.53333333,-9.945764691,Mitchell Parker,27636,680730
George Klassen ,LAA,RP,999,38.7948,-4.236434983,-4.942516175,-5.859190289,-2.146804763,-4.296989905,-21.48193611,10.53333333,-9.948602782,George Klassen,sa3023440,691946
Will Klein ,LAD,RP,999,50.2805,-3.878842,-8.104246932,-4.309917761,-3.54164989,-1.693490282,-21.52814686,10.53333333,-9.994813531,Will Klein,27787,694361
Drew Thorpe ,CHW,SP,999,39.4474,-5.040404019,-3.697789284,-6.380861478,-1.951332688,-4.486521931,-21.5569094,10.53333333,-10.02357607,Drew Thorpe,31967,689672
Jason Alexander ,HOU,SP/RP,999,43.2577,-4.737467134,-4.653442301,-6.093680171,-1.935964517,-4.165549501,-21.58610362,10.53333333,-10.05277029,Jason Alexander,19666,669920
Brayan Bello ,BOS,SP,424.6099854,155.925,-10.44715149,-12.66687182,1.815388912,4.183008787,-4.486521931,-21.60214754,10.53333333,-10.06881421,Brayan Bello,23920,678394
Hurston Waldrep ,ATL,SP,748.3699951,50.8234,-4.465631181,-6.378230792,-5.216308443,-1.089382162,-4.486521931,-21.63607451,10.53333333,-10.10274118,Hurston Waldrep,33527,694462
Andrew Alvarez ,WSN,SP,999,71.7615,-4.931292405,-7.144591166,-4.420815026,-1.037384511,-4.121088568,-21.65517168,10.53333333,-10.12183834,Andrew Alvarez,29914,674841
Michael Wacha ,KCR,SP,613.75,163.457,-13.21813094,-10.01928662,1.670233312,4.392476421,-4.486521931,-21.66122976,10.53333333,-10.12789643,Michael Wacha,14078,608379
John Brebbia ,,RP,999,35.231,-5.711207711,-4.074384484,-6.024225061,-3.54164989,-2.542277393,-21.89374454,10.53333333,-10.36041121,John Brebbia,12777,605154
Matthew Liberatore ,STL,SP,430.6000061,151.182,-12.17140849,-10.23508222,1.532214465,3.298205949,-4.486521931,-22.06259223,10.53333333,-10.5292589,Matthew Liberatore,22294,669461
Hunter Dobbins ,STL,SP,999,78.5467,-6.502682171,-6.758617302,-3.973302513,-0.573083737,-4.293287697,-22.10097342,10.53333333,-10.56764009,Hunter Dobbins,30240,690928
Roddery Muñoz ,HOU,RP,999,47.9608,-6.034996912,-5.556555183,-4.908519081,-3.534718379,-2.188029022,-22.22281858,10.53333333,-10.68948524,Roddery Munoz,25311,682610
Gunnar Hoglund ,ATH,SP,999,40.2666,-5.683892782,-3.708020146,-6.279141777,-2.366703353,-4.322560799,-22.36031886,10.53333333,-10.82698552,Gunnar Hoglund,31318,680684
Zach Maxwell ,CIN,RP,999,37.122,-3.996836315,-5.106303482,-5.786096683,-3.54164989,-3.957850768,-22.38873714,10.53333333,-10.85540381,Zach Maxwell,31610,687209
Eduarniel Núñez ,ATH,RP,999,35.6104,-3.40755432,-5.357273328,-5.980618187,-3.54164989,-4.113701028,-22.40079675,10.53333333,-10.86746342,Eduarniel Nunez,23162,674384
Ryan Gusto ,MIA,SP/RP,999,47.4527,-5.434025612,-4.583821869,-5.410291408,-3.006104193,-4.049668583,-22.48391166,10.53333333,-10.95057833,Ryan Gusto,26440,687473
Sam Bachman ,LAA,RP,999,44.5113,-4.190347292,-6.304330561,-5.728788781,-3.54164989,-2.75704407,-22.52216059,10.53333333,-10.98882726,Sam Bachman,29754,696147
Cade Cavalli ,WSN,SP,308.5400085,135.463,-9.028279497,-12.36789291,0.668133298,2.683507415,-4.486521931,-22.53105362,10.53333333,-10.99772029,Cade Cavalli,27473,676917
Juan Morillo ,ARI,RP,999,46.562,-3.385235258,-7.206532617,-5.356029993,-3.54164989,-3.043378743,-22.5328265,10.53333333,-10.99949317,Juan Morillo,21924,666661
Carter Baumler ,TEX,RP,999,41.4665,-4.689424672,-5.664922304,-5.885588591,-3.54164989,-2.752151287,-22.53373674,10.53333333,-11.00040341,Carter Baumler,sa3014480,691945
Ryan Bergert ,KCR,SP,999,51.0763,-5.570630188,-5.352225278,-5.252188156,-2.23726163,-4.124563025,-22.53686828,10.53333333,-11.00353494,Ryan Bergert,29863,686701
Brennan Bernardino ,COL,RP,999,55.4997,-5.233346042,-7.788794159,-4.64247284,-3.54164989,-1.372217413,-22.57848035,10.53333333,-11.04514701,Brennan Bernardino,16835,657514
Ken Waldichuk ,WSN,RP,999,36.4671,-3.982957302,-5.577041222,-5.94498469,-3.321072324,-3.780259834,-22.60631537,10.53333333,-11.07298204,Ken Waldichuk,27681,686610
Seth Halvorsen ,COL,RP,703.4699707,48.1501,-5.413730145,-6.953536305,-5.269911253,-3.54164989,-1.475318383,-22.65414598,10.53333333,-11.12081264,Seth Halvorsen,33294,678020
Slade Cecconi ,CLE,SP,610.5499878,151.441,-16.21555007,-6.819238143,1.609655759,3.203696388,-4.486521931,-22.707958,10.53333333,-11.17462466,Slade Cecconi,27500,677944
Quinn Mathews ,STL,SP,999,40.4646,-3.549572813,-7.561863047,-5.907273882,-1.249308155,-4.486521931,-22.75453983,10.53333333,-11.2212065,Quinn Mathews,sa3023407,687273
Keegan Thompson ,COL,RP,999,43.354,-5.364137634,-5.429539405,-5.425623741,-3.427274186,-3.147083133,-22.7936581,10.53333333,-11.26032476,Keegan Thompson,19795,624522
Brandan Bidois ,PIT,RP,999,43.5089,-4.700561826,-5.844112299,-5.543338542,-3.54164989,-3.232628359,-22.86229092,10.53333333,-11.32895758,Brandan Bidois,sa3015277,684049
Seth Lugo ,KCR,SP,500.9899902,156.473,-13.67932312,-11.82608321,2.245038732,4.81323591,-4.486521931,-22.93365361,10.53333333,-11.40032028,Seth Lugo,12447,607625
Chris Roycroft ,STL,RP,999,43.345,-3.943882347,-6.524561737,-5.988961689,-3.54164989,-3.151497663,-23.15055333,10.53333333,-11.61721999,Chris Roycroft,31261,688297
Janson Junk ,MIA,SP,999,89.2223,-9.484221528,-5.611920046,-3.381260986,-0.880432345,-4.121892282,-23.47972719,10.53333333,-11.94639385,Janson Junk,23301,676083
Richard Fitts ,STL,SP,745.6400146,105.528,-9.365178906,-8.377350933,-1.961273828,0.373622643,-4.323035641,-23.65321666,10.53333333,-12.11988333,Richard Fitts,30160,690916
Dan Altavilla ,MIN,RP,999,38.0736,-4.620998929,-5.490285388,-6.189488118,-3.54164989,-3.855229028,-23.69765135,10.53333333,-12.16431802,Dan Altavilla,16507,656186
Mason Black ,KCR,RP,999,39.3808,-5.48530539,-5.1710772,-6.172508794,-2.765466641,-4.255326184,-23.84968421,10.53333333,-12.31635088,Mason Black,30171,696131
Travis Adams ,MIN,RP,999,50.5503,-6.161696725,-5.70579192,-5.510916103,-3.263716071,-3.50373667,-24.14585749,10.53333333,-12.61252416,Travis Adams,30180,701519
Spencer Arrighetti ,HOU,SP,726.3300171,93.1962,-10.07598473,-8.805262689,-1.154059999,0.157848309,-4.284993729,-24.16245284,10.53333333,-12.62911951,Spencer Arrighetti,29921,681293
Rhett Lowder ,CIN,SP,551.0700073,113.948,-10.02739097,-9.259525318,-1.358091731,0.657155608,-4.262143184,-24.2499956,10.53333333,-12.71666226,Rhett Lowder,33876,695076
Bailey Falter ,KCR,SP,999,68.9995,-7.822277927,-5.858244152,-4.621576466,-2.38342503,-3.800946098,-24.48646967,10.53333333,-12.95313634,Bailey Falter,20070,663559
Luis Medina ,ATH,RP,999,66.7849,-6.808927573,-8.140718184,-3.762157081,-1.893779536,-4.01857949,-24.62416186,10.53333333,-13.09082853,Luis Medina,21649,665622
McCade Brown ,COL,SP,999,36.3932,-6.555245924,-5.411292821,-6.085443609,-2.314925247,-4.29443613,-24.66134373,10.53333333,-13.1280104,McCade Brown,30004,685326
Griffin Canning ,SDP,SP,999,100.271,-9.346698879,-9.554026888,-1.500584736,-0.16222141,-4.169844081,-24.73337599,10.53333333,-13.20004266,Griffin Canning,19867,656288
Luis Morales ,ATH,SP,733.9500122,113.123,-11.5235485,-9.760647621,-0.526888294,1.231785888,-4.384851658,-24.96415019,10.53333333,-13.43081685,Luis Morales,32227,806960
Brandon Williamson ,CIN,SP,999,75.4011,-9.212779304,-7.090810285,-3.525098737,-1.027916723,-4.232570923,-25.08917597,10.53333333,-13.55584264,Brandon Williamson,25463,682227
Orlando Ribalta ,WSN,RP,999,40.7997,-5.799997969,-6.980406278,-5.750680907,-3.54164989,-3.05411136,-25.1268464,10.53333333,-13.59351307,Orlando Ribalta,26247,687377
Wikelman González ,CHW,RP,999,43.5526,-4.804904706,-7.733563179,-5.354563581,-3.54164989,-3.854089224,-25.28877058,10.53333333,-13.75543725,Wikelman Gonzalez,26641,682790
Jeffrey Springs ,ATH,SP,719.7399902,160.814,-16.72400939,-11.04873135,2.630409305,3.930748757,-4.486521931,-25.69810462,10.53333333,-14.16477128,Jeffrey Springs,17677,605488
Charlie Morton ,,SP/RP,999,57.1175,-7.787621422,-7.680600594,-4.020734225,-1.820877483,-4.486521931,-25.79635566,10.53333333,-14.26302232,Charlie Morton,4676,450203
Eduardo Rodriguez ,ARI,SP,739.7299805,130.897,-11.36177249,-12.99874534,0.920896661,1.9801274,-4.381238799,-25.84073257,10.53333333,-14.30739924,Eduardo Rodriguez,13164,593958
Lucas Giolito ,,SP,726.6300049,104.106,-11.37420296,-10.06221468,-1.01834963,0.957893811,-4.486521931,-25.98339539,10.53333333,-14.45006206,Lucas Giolito,15474,608337
Marcus Stroman ,,SP,999,53.57,-6.88119399,-7.585256643,-5.715987451,-1.912984892,-4.486079794,-26.58150277,10.53333333,-15.04816944,Marcus Stroman,13431,573186
José Urquidy ,PIT,SP,999,74.4605,-9.697365479,-7.052576491,-4.032194332,-1.555119287,-4.299744875,-26.63700046,10.53333333,-15.10366713,Jose Urquidy,18413,664353
Zach Agnos ,COL,RP,742.8200073,55.9129,-9.229153849,-8.365423803,-5.205870661,-3.54164989,-0.528692474,-26.87079068,10.53333333,-15.33745734,Zach Agnos,31552,688642
Aaron Civale ,ATH,SP,748.3699951,122.877,-14.29775845,-9.341702927,0.007689404,1.168669495,-4.475199629,-26.93830211,10.53333333,-15.40496877,Aaron Civale,19479,650644
Anthony Kay ,CHW,SP,717.8099976,126.435,-11.18368806,-13.90193979,-0.171203924,2.35314723,-4.391278721,-27.29496326,10.53333333,-15.76162993,Anthony Kay,20387,641743
Kyle Leahy ,STL,SP,734.789978,114.013,-10.5176088,-12.00519785,-1.072913613,0.11542682,-3.866283071,-27.34657651,10.53333333,-15.81324318,Kyle Leahy,24763,681517
Lance McCullers Jr. ,HOU,SP,999,82.2678,-8.790868175,-11.68284794,-2.269620618,-0.254633679,-4.360725902,-27.35869632,10.53333333,-15.82536298,Lance McCullers Jr.,14120,621121
Alek Manoah ,LAA,SP,748.3400269,68.0231,-9.122637068,-9.129568596,-4.036118426,-0.585139129,-4.486521931,-27.35998515,10.53333333,-15.82665182,Alek Manoah,26410,666201
Chase Petty ,CIN,RP,999,42.9223,-7.157952425,-7.706560804,-6.05247879,-2.669385758,-4.185011179,-27.77138896,10.53333333,-16.23805562,Chase Petty,30170,695534
Patrick Corbin ,,SP,999,69.3532,-9.73046685,-8.36898585,-4.255770329,-0.963884926,-4.486521931,-27.80562989,10.53333333,-16.27229655,Patrick Corbin,9323,571578
Andrew Painter ,PHI,SP,999,104.852,-12.12530322,-11.14103073,-1.485388479,1.000087356,-4.096852101,-27.84848718,10.53333333,-16.31515384,Andrew Painter,sa3017880,691725
Adrian Houser ,SFG,SP,742.539978,141.039,-11.22780383,-14.91976969,-0.350640272,2.806501539,-4.484712807,-28.17642506,10.53333333,-16.64309173,Adrian Houser,12718,605288
Tyler Anderson ,LAA,SP,999,71.5251,-9.804078019,-9.006996467,-4.245938323,-0.976619542,-4.436870104,-28.47050245,10.53333333,-16.93716912,Tyler Anderson,12880,542881
Logan Allen ,CLE,SP,999,105.019,-10.27304235,-12.48368779,-1.751913705,0.407078515,-4.388509468,-28.4900748,10.53333333,-16.95674147,Logan Allen,27589,671106
Cristian Javier ,HOU,SP,475.0499878,137.779,-16.3236063,-11.80128242,1.571133942,2.476311325,-4.486521931,-28.56396539,10.53333333,-17.03063205,Cristian Javier,17606,664299
Simeon Woods Richardson ,MIN,SP,667.6799927,139.046,-14.7595918,-12.67382841,1.598600675,1.483597275,-4.382686086,-28.73390835,10.53333333,-17.20057502,Simeon Woods Richardson,24494,680573
Caden Dana ,LAA,SP,999,66.3058,-10.9156894,-8.544420212,-4.114899022,-0.859039936,-4.439101175,-28.87314975,10.53333333,-17.33981642,Caden Dana,31508,702674
Walker Buehler ,SDP,SP,742.8099976,68.7083,-10.0760134,-9.137408332,-4.266753693,-1.290762361,-4.350956277,-29.12189406,10.53333333,-17.58856073,Walker Buehler,19374,621111
Bryce Elder ,ATL,SP,736.9899902,110.754,-12.57493353,-12.54605786,-1.287438196,1.393412081,-4.261987532,-29.27700504,10.53333333,-17.7436717,Bryce Elder,27779,693821
Luis Severino ,ATH,SP,647.3699951,166.208,-18.17372039,-13.61949381,2.337902968,4.286763297,-4.486521931,-29.65506986,10.53333333,-18.12173653,Luis Severino,15890,622663
Chris Paddack ,MIA,SP,748.289978,121.649,-16.3843393,-9.088895898,-0.940574712,0.787021023,-4.343665867,-29.97045475,10.53333333,-18.43712142,Chris Paddack,20099,663978
Jake Irvin ,WSN,SP,999,106.98,-14.82483914,-10.21487564,-2.147298785,0.890789368,-4.331881508,-30.62810571,10.53333333,-19.09477238,Jake Irvin,21504,663623
Andre Pallante ,STL,SP,999,129.742,-11.02439057,-16.45136911,-1.372292236,2.248585031,-4.353225837,-30.95269272,10.53333333,-19.41935939,Andre Pallante,26108,669467
Tanner Gordon ,COL,SP,999,64.3041,-12.72549165,-8.079837882,-4.887282678,-1.523144728,-4.240766374,-31.45652332,10.53333333,-19.92318998,Tanner Gordon,27669,685299
Davis Martin ,CHW,SP,999,151.082,-16.48490646,-15.2073652,0.938358493,2.954071561,-4.486521931,-32.28636354,10.53333333,-20.7530302,Davis Martin,21448,663436
Miles Mikolas ,WSN,SP,999,143.31,-19.7207471,-10.24463868,-0.929860937,2.524514449,-4.486521931,-32.8572542,10.53333333,-21.32392086,Miles Mikolas,9803,571945
Jonathan Cannon ,CHW,SP,999,93.3605,-13.6736953,-11.31022953,-2.990163721,-0.778691623,-4.305097158,-33.05787733,10.53333333,-21.52454399,Jonathan Cannon,31730,686563
Mick Abel ,MIN,SP,310.0499878,122.299,-15.10273895,-15.83191214,0.32985761,1.403914022,-4.314457477,-33.51533694,10.53333333,-21.9820036,Mick Abel,27756,690953
Jack Kochanowicz ,LAA,SP,999,70.0479,-10.77121777,-11.93079585,-5.250540203,-1.362006049,-4.233050122,-33.54760999,10.53333333,-22.01427666,Jack Kochanowicz,27688,686799
Erick Fedde ,CHW,SP,999,100.805,-15.50116064,-13.20985587,-2.862804858,0.4229062,-4.388051995,-35.53896716,10.53333333,-24.00563382,Erick Fedde,17425,607200
Sean Burke ,CHW,SP,999,143.257,-18.59615105,-17.18854366,2.360925,2.101026208,-4.486521931,-35.80926544,10.53333333,-24.27593211,Sean Burke,29878,680732
Randy Vásquez ,SDP,SP,723.8599854,127.715,-16.8817011,-14.94497577,-1.504186091,1.224149401,-4.386933046,-36.4936466,10.53333333,-24.96031327,Randy Vasquez,24719,681190
Josiah Gray ,WSN,SP,999,87.8877,-17.14825283,-12.03563122,-2.548565524,-0.540543597,-4.486521931,-36.75951511,10.53333333,-25.22618178,Josiah Gray,24580,680686
Germán Márquez ,SDP,SP,745.6300049,94.7653,-16.68923996,-14.106346,-3.026394349,-0.235254729,-4.393965958,-38.45120099,10.53333333,-26.91786766,German Marquez,15038,608566
Taijuan Walker ,PHI,SP,999,109.968,-17.70961848,-14.67698345,-2.456852645,-0.303204414,-3.88509127,-39.03175026,10.53333333,-27.49841693,Taijuan Walker,11836,592836
Ryan Feltner ,COL,SP,999,101.751,-17.50258514,-16.26259421,-1.885296385,0.545205948,-4.31858725,-39.42385704,10.53333333,-27.8905237,Ryan Feltner,21446,663372
Antonio Senzatela ,COL,SP,999,74.9374,-15.62834524,-14.75515339,-4.94534684,-2.520990588,-3.106481684,-40.95631774,10.53333333,-29.42298441,Antonio Senzatela,15488,622608
Tomoyuki Sugano ,COL,SP,999,114.792,-21.28594128,-14.38740653,-2.730551764,0.820806624,-4.486521931,-42.06961488,10.53333333,-30.53628155,Tomoyuki Sugano,35321,608372
Michael Lorenzen ,COL,SP,999,141.951,-24.48019294,-20.34837268,0.594539895,2.434309491,-4.464742351,-46.26445859,10.53333333,-34.73112526,Michael Lorenzen,14843,547179
Jose Quintana ,COL,SP,999,127.594,-20.40546775,-21.79972395,-1.427189203,1.688001697,-4.486521931,-46.43090113,10.53333333,-34.8975678,Jose Quintana,11423,500779
Kyle Freeland ,COL,SP,999,159.084,-26.5843704,-20.33992601,0.897834287,3.671126631,-4.486521931,-46.84185742,10.53333333,-35.30852409,Kyle Freeland,16256,607536
Chase Dollander ,COL,SP,740.0700073,113.695,-23.38016927,-19.35600917,-0.744506431,0.540820312,-4.486521931,-47.42638649,10.53333333,-35.89305316,Chase Dollander,33482,801403
